@relation germany2
@attribute "Area Name" string
@attribute Type {'Rural','Urban'}
@attribute State {'Baden-Wuerttemberg','Bavaria','Berlin','Brandenburg','Bremen','Hamburg','Hesse','Lower Saxony','Mecklenburg-Vorpommern','NRW','Rhineland-Palatinate','Saarland','Saxony','Saxony-Anhalt','Schleswig-Holstein','Thuringia'}
@attribute Region {'West','East'}
@attribute "CDU 2005" numeric
@attribute "SPD 2005" numeric
@attribute "FDP 2005" numeric
@attribute "GREEN 2005" numeric
@attribute "LEFT 2005" numeric
@attribute "Non-Voters 2005" numeric
@attribute "CDU 2009" numeric
@attribute "SPD 2009" numeric
@attribute "FDP 2009" numeric
@attribute "GREEN 2009" numeric
@attribute "LEFT 2009" numeric
@attribute "Non-Voters 2009" numeric
@attribute "Pop. density" numeric
@attribute "Elderly pop." numeric
@attribute "Old pop." numeric
@attribute "Mid-aged pop." numeric
@attribute "Young pop." numeric
@attribute "Children pop." numeric
@attribute "Migration balance" numeric
@attribute "Social welfare" numeric
@attribute "Poor elderly inh." numeric
@attribute "Poor child." numeric
@attribute "High-school degree" numeric
@attribute "No school degree" numeric
@attribute "Child care" numeric
@attribute "Business Regstr." numeric
@attribute Income numeric
@attribute Employees numeric
@attribute GPD numeric
@attribute Unemployed numeric
@attribute "Unemployed Youth" numeric
@attribute "Permanently unemployed " numeric
@attribute "Agricult. workf." numeric
@attribute "Ind. workf." numeric
@attribute "Service workf." numeric
@attribute "Pub. serv. workf." numeric
@attribute Cars numeric
@attribute Tractors numeric
@attribute "Registrd. Web Doms." numeric
@attribute Bankruptcies numeric
@data
'Ludwigslust','Rural','Mecklenburg-Vorpommern','East',28,36.3,6,3.5,20.9,26.5,32.4,20.3,10.3,4.5,26.4,34.4,49.1,20.1,32,25.5,8.3,14.1,-6,0.5,19.4,7.5,37.4,11.1,19,71.1,16148,40.4,?,10.1,10.3,30,?,?,?,?,554,4,0.062,65.2
'Mecklenburg-Strelitz','Rural','Mecklenburg-Vorpommern','East',30.4,29.6,6.2,3.4,25.2,27.2,34.3,15.8,8.9,4.4,30.4,35.8,37.6,22.1,33.6,23.6,7.6,13,-10,0.5,19.6,6.6,44.7,12.9,20,65.8,15051,33.7,?,15.7,12,30,?,?,?,?,544,3,0.057,201.4
'Mueritz','Rural','Mecklenburg-Vorpommern','East',30,30.9,6.2,4,24.1,29.2,33.8,17.6,9,4.8,29.6,38.6,38.1,22.2,31.8,24.5,8.1,13.4,-5,0.6,16.9,10.2,40.3,15.9,22,74,15086,35.8,?,13.4,10,26,?,?,?,?,520,4,0.089,184.7
'Nordvorpommern','Rural','Mecklenburg-Vorpommern','East',35.6,26.1,6.8,2.8,23.9,29.8,38.3,13.3,10.9,4.2,28,39.4,49.1,22.7,32.9,23.9,7.5,13,-8,0.5,14.7,11.3,31,12.6,20,73.2,14922,34.2,?,15.7,13.3,27,?,?,?,?,539,3,0.073,43.6
'Nordwestmecklenburg','Rural','Mecklenburg-Vorpommern','East',28.6,35.4,6,4.3,21.6,28.8,33,18.2,9.7,5.5,28.4,37,56.4,19,31.8,26.2,7.9,15.1,-4,0.5,22.1,10.1,30.8,15.9,20,83.4,15417,38.6,?,11.5,11.6,32,?,?,?,?,545,4,0.063,63.7
'Ostvorpommern','Rural','Mecklenburg-Vorpommern','East',37.1,23.8,6.7,2.6,22.6,29.8,38.1,11.6,11,4,27.3,39.7,55.4,23,32.7,23.3,8,12.9,-4,0.7,21.1,6.6,31.9,14.4,21,69.3,14619,34.6,?,16.3,14.3,5,?,?,?,?,522,3,0.076,60.5
'Parchim','Rural','Mecklenburg-Vorpommern','East',29.7,32.1,6.7,3.7,23.3,28.1,34.7,17.9,9.7,4.7,28,36.1,43.4,21.9,33.7,23.6,7.7,13.1,-9,0.6,21.5,9,35.6,12.7,18,63.2,15793,36.1,?,12.2,10.8,34,?,?,?,?,542,4,0.062,44.6
'Ruegen','Rural','Mecklenburg-Vorpommern','East',35.3,23.2,8.5,3.1,25.1,32.7,34.9,11.6,12.9,4.6,30.4,42.2,69.7,23,33.3,23,8.4,12.3,-6,0.5,26.5,1.5,33,10.4,22,90.9,15039,37.7,?,13.7,11.7,22,?,?,?,?,485,2,0.138,34.1
'Uecker-Randow','Rural','Mecklenburg-Vorpommern','East',33.2,23.5,5.6,2.3,27.4,29.9,35.4,13.7,8.4,2.9,29.8,37.8,45,23.3,33.2,23,7.9,12.6,-10,0.5,27.2,5.3,32.4,12,21,69.6,13919,29.9,?,18.7,14,28,?,?,?,?,498,3,0.038,179.4
'Chemnitz','Urban','Saxony','East',24.3,26.7,9.8,5.5,26.4,24,30.5,17.1,12.7,7.1,28.6,33.8,1100.7,27.1,28.6,24.3,8.3,11.7,2,0.2,19.1,13.5,38.5,9.6,16,91.4,16641,33.4,26308,?,?,17,0.3,45.7,68.9,47.3,485,1,0.11,149.2
'Erzgebirgskreis','Rural','Saxony','East',33.3,20.8,10.4,2.8,22.7,22.9,38.3,12.5,13.7,3.9,25.4,35.3,203.7,24.9,31.3,23.3,7.5,13,-8,0.3,17.8,9.6,34.5,6.1,15,68,15548,35.5,16315,?,?,14,3.3,95.4,45.9,43.3,547,2,0.063,102.8
'Mittelsachsen','Rural','Saxony','East',32.8,22,10.7,3.3,22.7,23.3,38.5,13.6,13.7,4.4,24.4,35.1,157.2,25.5,30,24,7.8,12.8,-6,0.3,17.6,8.1,38.9,7.9,17,68.5,15968,36.3,20569,?,?,10,4.5,84.1,48.1,41.3,545,3,0.071,102.4
'Vogtlandkreis','Rural','Saxony','East',30,25.1,10.3,3.8,23,25,36.7,15,12.5,5,26.1,35.7,175.1,26.6,30.6,23.2,7.4,12.2,-5,0.3,18.5,8.1,36.4,8.2,16,69.8,16062,35.1,18574,?,?,12,2.1,60.3,36,31.1,547,3,0.07,130.7
'Zwickau','Rural','Saxony','East',29.7,25.5,9.5,3.5,24.7,24.8,36,14.9,12.4,4.6,27.3,36.1,363.5,26.2,30.1,23.5,7.8,12.4,-4,0.2,3.1,9.5,37.8,8.2,16,73.9,16050,35.1,20717,?,?,15,2.1,83.8,59.9,46.4,528,2,0.068,115.7
'Dresden','Urban','Saxony','East',26.1,26.5,13.9,8.6,19.7,25.5,33.6,15,13.6,12.6,21.2,32.4,1574.9,22.2,23.6,30,10.8,13.3,8,0.3,21.9,10.7,45.3,8,18,117.9,16135,35.2,28514,?,?,15,0.6,82.6,135.2,113.8,392,0,0.173,128.8
'Bautzen','Rural','Saxony','East',32.2,21.3,10.1,3.4,23.9,23.3,38.8,12.7,14,4.5,23.7,34.6,136,24.8,30.1,24,7.8,13.3,-8,0.3,24.9,4.9,39.6,9.7,17,63.6,15987,35.7,18564,?,?,6,3,71.9,49,41.6,552,3,0.068,107.6
'Goerlitz','Rural','Saxony','East',32,21,9.2,3.7,24.6,25.8,37.4,12.6,13.1,4.8,24.6,37.3,133.5,26.7,30.5,22.5,7.5,12.8,-7,0.5,23.6,6.4,33.6,9,16,91.9,15003,31.4,18885,?,?,10,2.7,50.6,36.9,40.2,515,2,0.072,116.1
'Meissen','Rural','Saxony','East',32,22,10.7,4.5,21.8,23.3,37.5,13.1,14.5,5.8,22.7,35.3,175.2,25.2,29.7,24.3,7.5,13.3,-4,0.3,21.2,10.5,37.3,8.5,16,76.7,16303,35.7,19312,?,?,7,3,59,38.7,30.8,515,2,0.075,115.5
'Saechsische Schweiz-Osterzgebirge','Rural','Saxony','East',35.1,20.1,10.9,4.2,19.8,22.4,40.3,12,14.3,5.3,20.8,34.5,153.5,25.1,29.5,24.2,7.7,13.5,-2,0.3,14.1,10.4,38.1,9.5,16,75.7,16094,35.8,16394,?,?,14,3,48.3,33.5,30.5,533,2,0.084,88.5
'Leipzig','Urban','Saxony','East',24.5,32.3,7.9,8.3,22.5,25.4,28,18.1,12.3,12,25.5,33.9,1744.9,22.6,25.2,30.2,9.5,12.5,7,0.3,17,14.7,44.7,10.2,18,116,15157,32.7,25562,?,?,18,0.3,62.3,154,96.8,370,0,0.193,227.1
'Leipzig','Rural','Saxony','East',30.9,26.5,9.2,4.1,22.7,24,36.7,16,13.2,5.1,23.8,35.8,163.7,23.8,30.9,24.5,7.7,13.1,-4,0.3,19.1,9.2,36.7,8.4,18,81.5,16432,36.2,18729,?,?,11,2.7,45,36.5,28.9,537,3,0.076,167
'Nordsachsen','Rural','Saxony','East',31,25.5,8.9,3.4,24.2,25.6,35.6,15.7,12.7,4.4,25.7,38.6,103.3,23.3,30.9,24.7,8.1,13.1,-8,0.3,16.3,8.8,40.5,10.5,18,83,15658,36.5,20123,?,?,16,3.6,40.2,36.1,25.3,532,3,0.058,129.4
'Dessau-Rosslau','Urban','Saxony-Anhalt','East',22,33.6,9,5.6,26.3,27.7,29,17.2,10.4,6.4,32.2,38.3,358.8,28,30.8,22.5,7.7,11,-4,0.4,25.8,10.8,41,5.9,21,72.1,16134,33.7,23264,14.7,15.1,39,0.4,16.3,18.4,15.4,477,1,0.067,165.2
'Halle (Saale)','Urban','Saxony-Anhalt','East',20.4,33.6,9,7.2,26.8,28.8,25.9,16.2,11.1,9.3,32.1,37.7,1720.7,23.5,26.8,26.8,10.1,12.8,0,0.7,20.1,10.9,40.5,11.2,22,73.3,15294,32.4,23665,14.8,12.9,43,0.1,19.8,54.1,58.1,376,0,0.093,120.9
'Magdeburg','Urban','Saxony-Anhalt','East',20.7,37.3,6.4,6.1,26.7,28.9,26.9,19.3,8.9,7.6,32.1,38.9,1147.8,23.8,27.3,26.5,10.5,11.9,5,0.4,18.6,10.6,45.2,9.7,22,92.8,15556,33.8,28604,13.7,14.3,43,0.1,29.4,65.7,55.1,432,1,0.097,209.5
'Altmarkkreis Salzwedel','Rural','Saxony-Anhalt','East',27.6,32.6,6.3,3.4,26.7,27.8,31.2,17.8,8.7,4.7,32.6,37,39.5,22,31.2,24.4,8.3,14,-11,0.9,20.1,5.9,32.5,11.3,21,58,15519,38.5,18316,13.4,14.3,43,2.3,17.1,12.6,11.4,557,5,0.058,96.5
'Anhalt-Bitterfeld','Rural','Saxony-Anhalt','East',25,31.7,8.8,3.3,26.6,29.5,30.9,16.7,10.4,3.8,32.7,40.9,123.4,25,31.3,23.6,8.2,11.9,-8,0.4,24.5,11.8,36.8,11.3,23,62.9,15483,35.8,19717,15,13.1,41,1.9,45.6,25.7,18.9,521,2,0.057,142.3
'Boerde','Rural','Saxony-Anhalt','East',26.6,34.1,7.6,3.2,24.9,29.4,31.7,18,11,4.1,30.2,38.8,76.4,21,32.1,25.6,8,13.3,-7,0.5,29.2,4.1,31.3,9.3,22,62.2,16136,40.5,20236,9.5,10.5,33,2.7,38.7,25.3,18,569,3,0.05,194.3
'Burgenlandkreis','Rural','Saxony-Anhalt','East',26.3,29,8.9,3.3,26.8,30,31.7,15.5,11.3,3.8,31.9,40.4,138.9,25.9,30.9,23.4,7.8,11.9,-7,0.4,25.7,12.4,37.2,12.3,22,62.2,15609,34,17685,16.5,15.9,43,1.7,30.8,28.1,22.2,515,3,0.054,116.1
'Harz','Rural','Saxony-Anhalt','East',25.4,34,7.3,3.9,25.8,28.7,31.7,17.4,9.5,5.2,31.3,38.9,111.5,24.9,31.1,23.7,7.8,12.5,-6,0.7,24.3,5,34.9,8.5,22,57.6,15519,35.8,17311,13.3,10.1,36,2,42.3,33.4,30.3,510,2,0.067,176.5
'Jerichower Land','Rural','Saxony-Anhalt','East',26.8,33.9,7,3.6,25.3,28.4,31.1,17.8,10.3,4.6,31.4,39.2,61.7,23.2,32,24.1,7.9,12.9,-2,0.6,22.8,8.5,26.4,11.6,23,65.7,16326,36.4,19138,11.8,10.8,37,1.8,17.9,11.7,13.2,550,3,0.048,166.4
'Mansfeld-Suedharz','Rural','Saxony-Anhalt','East',24.5,31,8.5,2.8,28.8,29.7,29,15.9,9.9,3.4,36.5,41.4,105.3,26.1,31.9,22.9,7.4,11.9,-10,0.4,14.7,13.7,29.9,14.8,22,64.7,15389,32.6,15381,17.8,16.3,46,1.8,22.6,19.9,17.2,535,3,0.045,142.7
'Saalekreis','Rural','Saxony-Anhalt','East',25.1,30.5,10.1,3.5,26.5,28.1,31.3,15.1,12.4,4.1,31.8,39.7,138.8,22.6,31.6,25,8,12.7,-7,0.4,16.1,13.4,27.4,9.6,23,71.8,15960,37.5,23390,12.8,13.8,19,1.8,43.7,34.1,17.6,559,2,0.064,123.1
'Salzlandkreis','Rural','Saxony-Anhalt','East',24.7,32.5,8,3.1,27.8,31.6,30.6,16.4,10.2,3.8,34.4,43.4,149.1,25.4,31,23.6,7.9,12.1,-7,0.5,24.9,10.6,31,11.7,23,57.7,15114,33.5,17804,14.1,10.6,25,1.6,40.4,28.4,27.7,492,2,0.058,161.8
'Stendal','Rural','Saxony-Anhalt','East',25.5,33.3,6.3,3.5,28.1,28.7,29.5,17.7,8.9,4.8,34.3,39,51,22.4,31.6,23.9,8.6,13.5,-10,0.9,24.1,7.8,36.7,13.3,23,53.1,14783,34.3,18060,16.4,16.7,39,2.5,18.5,16.4,18.4,510,4,0.045,109.7
'Wittenberg','Rural','Saxony-Anhalt','East',27.9,30.8,8.6,3.6,24.6,26.9,33.3,15.8,10.5,4.3,30.6,37.3,72,25.2,31.8,23.3,7.8,11.9,-7,0.4,24.7,5.3,31.1,9.1,23,74.2,15613,35.1,17766,12.4,11.4,32,1.8,27.9,18.8,15.4,540,3,0.063,138.1
'Erfurt','Urban','Thuringia','East',22.3,31.1,7.4,7.5,27.1,24.4,27.7,18.4,8.9,9.4,28.8,33.4,757.4,21,28.2,27.5,10.2,13.1,4,0.4,16.5,16.9,49.4,7.7,27,93.6,15506,34.1,28115,13.1,12.1,39,0.6,29.4,67.4,50.8,424,1,0.127,67.2
'Gera','Urban','Thuringia','East',20.4,29.3,7.7,4.4,32.6,26.1,26.9,15.7,10.2,5.2,35.4,36.3,658.2,25.6,31.7,23.5,8.1,11,-1,0.4,13.5,10.2,44.5,12.1,33,82.5,15658,32.6,20466,15,12.6,42,0.2,12.4,23.9,21,447,1,0.076,133.7
'Jena','Urban','Thuringia','East',19,34.6,8.4,10.9,23,21.8,24.8,19.5,10,13.1,25.3,29.7,912.5,20.5,24.2,30.4,12.2,12.7,8,0.3,16.3,5.1,61.9,4.8,32,95.2,15127,34.6,27199,8.8,7.4,7,0.1,21.1,22.7,26.1,396,1,0.154,126.9
'Suhl','Urban','Thuringia','East',19.9,31.3,6.9,4.5,32.5,26.8,25.7,17,8.3,5.7,37.4,36,384.9,25.7,33.6,22.8,7.7,10.1,-10,0.3,19.2,8.7,42.7,9.7,29,83.9,17898,34.3,22747,10.9,11.3,36,0,6.8,9.4,8.3,507,1,0.114,149.4
'Weimar','Urban','Thuringia','East',23.4,30.3,8.1,10.9,22.1,24.1,28.2,16.8,9.1,14.1,25.4,32.1,774.8,20.9,26.2,29,10.2,13.7,5,0.4,9.8,26,53.4,7.5,30,90.8,13895,30.8,22357,13,11,42,0,7.2,13.7,16.1,409,1,0.133,70
'Eisenach','Urban','Thuringia','East',21.6,34.1,6.6,6.8,25.6,26.7,28,19.6,8.6,7.4,30,34.2,412.6,25.1,28.8,25.8,7.5,12.8,-1,0.8,9.9,10.9,50.4,10.2,25,84.1,15940,34.9,24067,10.6,9.9,32,0.1,14.8,11.2,7.2,467,1,0.089,147.9
'Eichsfeld','Rural','Thuringia','East',42.2,23.5,9.7,3.5,16.3,21.8,48,13.6,11.7,4.4,16.6,29.5,112.8,20.1,29.7,26.5,8.8,14.9,-7,0.4,26.4,6.4,42.1,4.7,23,64.7,14955,38.8,17062,9.4,8.6,14,1,27.9,12.9,11.9,543,5,0.066,35.4
'Nordhausen','Rural','Thuringia','East',23.5,32.8,7,4.3,28.1,25.5,29.4,19.5,9.3,5.2,31.3,35.7,127.1,24.1,30.1,24.4,8.7,12.7,-3,0.4,24.8,7.7,38.9,10.1,28,66.7,15002,33.9,17477,13.7,12.8,40,0.8,17.9,12.8,12.9,515,3,0.057,73.9
'Wartburgkreis','Rural','Thuringia','East',26.7,31.9,7.5,3.9,24.1,24,33,18.6,8.7,4.7,28.1,34.8,101,22.3,31.6,25.2,8.1,12.9,-8,0.2,18.4,1.6,32.6,4.8,26,52.2,16426,40.1,17463,8,7.1,35,1.4,38.6,15.5,13.2,566,4,0.057,114.7
'Unstrut-Hainich-Kreis','Rural','Thuringia','East',28,29.2,8.2,3.8,25.5,25.8,33.9,17.7,10.8,4.5,27.6,36.6,112.4,22.2,30.2,25.4,8,14.1,-4,0.5,22.7,9.1,45.3,8.8,26,62.5,14885,35.7,17245,12.8,10.6,34,1.5,20.7,14.2,16,495,4,0.071,58
'Kyffhaeuserkreis','Rural','Thuringia','East',24.8,30.1,6.6,3.3,29.7,26.6,29.6,17.6,8.5,3.9,34.7,38.4,79.8,24.2,31.9,23.6,7.8,12.6,-7,0.3,20.1,11.3,38.7,6.1,26,64.9,14320,33.4,15315,17,14,44,1.2,13.9,8.8,12,539,5,0.048,82.7
'Schmalkalden-Meiningen','Rural','Thuringia','East',25.6,29.6,8.3,4.2,26.9,26,30.6,17.8,9.7,5.4,30.1,37.2,108.5,23.5,31.4,24.8,8.2,12.1,-6,0.2,21.9,7.4,39.5,9.2,27,72.1,15760,37.8,19007,8.8,8.1,35,1,37.7,18.3,16.6,562,4,0.073,98.8
'Gotha','Rural','Thuringia','East',26.5,31.1,7.9,4.4,24.2,24.9,31.5,20.6,8.9,5.1,27,35.2,148.4,22.9,31.1,24.9,7.7,13.4,-4,0.3,17.5,10.7,41.6,6.6,27,67.9,15635,37.4,20096,9.3,8.6,33,1.5,35.3,21.2,17.9,518,2,0.067,65
'Soemmerda','Rural','Thuringia','East',27.9,26.8,8.7,3.9,26.7,25.2,32.3,16.6,10.2,4.7,29.2,36.3,91.6,20.9,32.3,25.5,7.8,13.4,-5,0.4,15.8,23.9,36,7.1,30,63.8,15404,37.7,16084,14.7,13.1,46,1.4,15.9,8.5,6.7,529,4,0.074,81.4
'Hildburghausen','Rural','Thuringia','East',25.9,31.1,7.3,3.2,26.5,25.4,30.4,17.5,9.5,4.6,31.3,37.1,72.3,21.9,31.3,25.6,8.5,12.6,-7,0.4,20.8,8.5,31.6,5.1,28,71.8,15904,41.5,17146,7.6,6.5,30,1.1,16.5,7.4,7,581,6,0.057,109
'Ilm-Kreis','Rural','Thuringia','East',26.3,30.4,7.3,4.5,25.3,23.4,29.9,18.5,9.1,6,28.7,34.2,133.8,23.3,30.7,25,8.7,12.3,-1,0.3,11.3,21,43.4,7.2,29,75.8,15690,35.5,20082,11.8,9.6,40,0.8,30.3,16.3,13.2,512,3,0.096,50.6
'Weimarer-Land','Rural','Thuringia','East',27.2,28.5,8.8,4.8,23.7,23.5,32.5,17.2,11.4,5.9,26.3,33.6,105.8,20.3,32.3,25.8,7.8,13.8,-3,0.3,14.1,10.3,39.1,5.1,32,90.2,14753,38.4,16712,10.1,9.7,32,1.1,17.3,10.7,9.1,543,4,0.076,58.7
'Sonneberg','Rural','Thuringia','East',24.5,29.8,6.4,3.2,29.1,27,30.7,16.3,8.5,3.5,34.4,38.4,139.7,24.9,31.7,24.2,7.5,11.7,-5,0.2,22.9,2.3,35.6,6,25,78.5,16634,39.1,18929,7.9,8.5,23,0.4,19.7,8.1,6.6,549,3,0.067,71.4
'Saalfeld-Rudolstadt','Rural','Thuringia','East',24.4,29.5,7.7,3.9,27.4,24.3,29.7,17.2,9.9,5,29.9,35.7,114.3,25.8,31.2,23.7,7.7,11.5,-6,0.4,12.8,18.4,36.7,8.6,28,65.7,15483,36,18614,10.9,10.5,31,1.1,28.5,16,15,523,4,0.064,96.8
'Saale-Holzland-Kreis','Rural','Thuringia','East',25.3,28.6,8.4,4.2,27.4,21.9,31.7,16.1,10.9,5.3,29.4,32.3,107,22.4,32,25,7.8,12.9,-6,0.2,10.3,12.1,38.8,6,32,78.2,15821,38.5,17121,9.3,9.4,31,1.4,20.3,14,8.5,549,5,0.188,85.5
'Saale-Orla-Kreis','Rural','Thuringia','East',25.9,28.9,7.9,3.7,27.4,23.1,31.2,17.2,10.3,4.6,30,33.7,77.2,23.7,31.6,24.2,7.9,12.7,-7,0.5,13.8,14,38.7,6.8,25,74.7,15472,38,19388,9.4,8.1,36,1.9,29.6,11.6,9.7,572,7,0.061,83.9
'Greiz','Rural','Thuringia','East',27.1,27.3,9.4,4.2,26.1,22.3,33,16.2,11.4,4.8,27.9,33.3,129.2,25.4,32.2,23.1,7.1,12,-8,0.3,15.6,9.2,40.1,6.6,27,81.8,16229,35,15495,11.3,9.7,37,1.3,23,13.2,10.4,560,4,0.066,74.8
'Altenburger Land','Rural','Thuringia','East',26.4,28.1,8.3,3.5,27.2,26.5,32.6,16.8,10.3,3.6,29.6,38.6,176.1,26.8,31.3,23.1,7.3,11.6,-9,0.3,20.1,9.7,39.8,5.8,28,73.2,15359,33.5,16012,16,12.1,52,1,20.2,13.3,10.6,519,2,0.05,76.4
'Flensburg','Urban','Schleswig-Holstein','West',28.8,43.5,8.7,10.4,6.4,26.8,24.7,28,14.4,16.1,11.6,32.6,1559.8,19.6,24.3,29.1,11.7,15.4,-1,0.6,19.5,6.6,41.8,7.2,12,104.6,15450,28.1,34238,11.5,11.7,30,0.1,14.2,26.4,21,438,2,0.141,203.6
'Kiel','Urban','Schleswig-Holstein','West',27.8,42.3,8.4,13.1,6.2,23,24.4,30,12.9,17.6,9.9,28.3,2008.3,18.5,25.5,30.9,10.8,14.5,4,0.5,23.9,10.4,36.1,7.1,16,103.6,15983,31.2,37297,11.4,9.7,38,0.1,33.1,69.1,70.2,404,1,0.172,150.2
